% Vpre/V 	Vcoll/V 	Delay / ns	Q/C	stdDevQ/C
9.05000E-1	-1.00000E+0	8.80000E+1	3.65257E-10	4.01451E-12
9.06000E-1	-1.00000E+0	8.80000E+1	3.65316E-10	3.66454E-12
9.07000E-1	-1.00000E+0	8.80000E+1	3.65578E-10	3.59152E-12
