T      led    Voc     Q(nC)   spread%  I(uW)  Ispr%  nL  nD  peak(mA) started
 285.1 1.025 1.0413  -1.319    3.6  86.77  0.08 200 200  -10.12 06:58:17
 285.1 1.030 1.0444  -1.333    3.3  99.55  0.05 200 200  -10.24 07:00:37
 290.1 1.010 1.0233  -1.286    6.1  46.28  0.11 200 200  -10.28 07:04:59
 290.1 1.015 1.0287  -1.293    5.3  60.12  0.05 200 200  -10.56 07:07:20
 290.1 1.020 1.0325  -1.303    3.3  73.73  0.14 200 200  -10.58 07:09:40
 290.1 1.025 1.0354  -1.322    6.9  86.69  0.06 200 200  -10.80 07:12:01
 290.1 1.030 1.0378  -1.360    4.7  99.46  0.24 200 200  -10.96 07:14:22
 295.1 1.010 1.0173  -1.312    4.7  46.33  0.29 200 200  -11.02 07:18:45
 295.1 1.015 1.0233  -1.308    5.1  60.17  0.09 200 200  -11.16 07:21:05
 295.1 1.020 1.0263  -1.305    5.3  73.82  0.17 200 200  -11.18 07:23:26
 295.1 1.025 1.0290  -1.324    5.0  86.74  0.16 200 200  -11.32 07:25:46
 295.1 1.030 1.0317  -1.325    3.6  99.67  0.11 200 200  -11.38 07:28:07
